# article1,article_2,article3,article4
inf,2.238895654678344727e+00,3.038001298904418945e+00,1.699547052383422852e+00
2.238895654678344727e+00,inf,2.381011962890625000e+00,1.882085680961608887e+00
3.038001298904418945e+00,2.381011962890625000e+00,inf,2.472788572311401367e+00
1.699547052383422852e+00,1.882085680961608887e+00,2.472788572311401367e+00,inf
